data,date,hits,geo,time,keyword,gprop,category,gender,candidate_id,prior_vperc,prior_vperc_fct
1,2019-06-04T00:00:00Z,13,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-05T00:00:00Z,11,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-06T00:00:00Z,3,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-07T00:00:00Z,8,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-08T00:00:00Z,8,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-09T00:00:00Z,4,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-10T00:00:00Z,8,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-11T00:00:00Z,3,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-12T00:00:00Z,7,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-13T00:00:00Z,7,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-14T00:00:00Z,5,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-15T00:00:00Z,4,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-16T00:00:00Z,4,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-17T00:00:00Z,10,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-18T00:00:00Z,5,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-19T00:00:00Z,6,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-20T00:00:00Z,10,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-21T00:00:00Z,3,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-22T00:00:00Z,8,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-23T00:00:00Z,6,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-24T00:00:00Z,5,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-25T00:00:00Z,7,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-26T00:00:00Z,8,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-27T00:00:00Z,100,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-28T00:00:00Z,30,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-29T00:00:00Z,18,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-30T00:00:00Z,10,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-07-01T00:00:00Z,5,US,today 1-m,Cory Booker 2020,web,0,Men,10,> 1.0% of voters,> 1.0% of voters
1,2019-06-04T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-05T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-06T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-07T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-08T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-09T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-10T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-11T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-12T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-13T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-14T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-15T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-16T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-17T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-18T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-19T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-20T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-21T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-22T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-23T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-24T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-25T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-26T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-27T00:00:00Z,7,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-28T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-29T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-30T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-07-01T00:00:00Z,0,US,today 1-m,Julián Castro 2020,web,0,Men,9,0.5 - 0.9% of voters,0.5 - 0.9% of voters
1,2019-06-04T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-05T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-06T00:00:00Z,7,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-07T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-08T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-09T00:00:00Z,8,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-10T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-11T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-12T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-13T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-14T00:00:00Z,5,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-15T00:00:00Z,4,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-16T00:00:00Z,4,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-17T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-18T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-19T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-20T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-21T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-22T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-26T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-27T00:00:00Z,22,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-28T00:00:00Z,5,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-29T00:00:00Z,4,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-30T00:00:00Z,0,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-07-01T00:00:00Z,3,US,today 1-m,Bill de Blasio 2020,web,0,Men,8,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-04T00:00:00Z,8,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-05T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-06T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-07T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-08T00:00:00Z,0,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-09T00:00:00Z,0,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-10T00:00:00Z,0,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-11T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-12T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-13T00:00:00Z,0,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-14T00:00:00Z,7,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-15T00:00:00Z,4,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-16T00:00:00Z,4,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-17T00:00:00Z,0,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-18T00:00:00Z,5,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-19T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-20T00:00:00Z,5,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-21T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-22T00:00:00Z,8,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-23T00:00:00Z,4,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-24T00:00:00Z,0,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-25T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-26T00:00:00Z,10,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-27T00:00:00Z,52,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-28T00:00:00Z,7,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-29T00:00:00Z,4,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-06-30T00:00:00Z,8,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
1,2019-07-01T00:00:00Z,3,US,today 1-m,John Delaney 2020,web,0,Men,7,0.2% of voters,0.2% of voters
2,2019-06-04T00:00:00Z,14,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-05T00:00:00Z,4,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-06T00:00:00Z,8,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-07T00:00:00Z,8,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-08T00:00:00Z,10,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-09T00:00:00Z,3,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-10T00:00:00Z,3,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-11T00:00:00Z,6,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-12T00:00:00Z,7,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-13T00:00:00Z,3,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-14T00:00:00Z,10,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-15T00:00:00Z,3,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-16T00:00:00Z,0,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-17T00:00:00Z,4,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-18T00:00:00Z,6,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-19T00:00:00Z,5,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-20T00:00:00Z,3,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-21T00:00:00Z,0,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-22T00:00:00Z,8,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-23T00:00:00Z,3,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-24T00:00:00Z,4,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-25T00:00:00Z,9,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-26T00:00:00Z,6,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-27T00:00:00Z,97,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-28T00:00:00Z,46,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-29T00:00:00Z,32,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-30T00:00:00Z,24,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-07-01T00:00:00Z,11,US,today 1-m,Tulsi Gabbard 2020,web,0,Women,6,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-04T00:00:00Z,3,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-05T00:00:00Z,5,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-06T00:00:00Z,3,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-07T00:00:00Z,5,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-08T00:00:00Z,0,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-09T00:00:00Z,0,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-10T00:00:00Z,0,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-11T00:00:00Z,3,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-12T00:00:00Z,7,US,today 1-m,Jay Inslee 2020,web,0,Men,5,0.2 - 0.4% of voters,0.2 - 0.4% of voters
